rajatisid,rajatisnimi,kompleks,liik,omandiliik,om_oigvorm_id,omaniknimi,omanikregkood,va_oigvorm_id,valdajanimi,valdajaregkood,kaart_laius,kaart_pikkus,maakond,maakond_kood,kov,asustusyksus,asustusyksus_kood,riietusruumidemahutavus,objektid,objektnimi,tehnseisukord,spordialad,renoveerimisaasta,algusaasta,parkimiskohad
194,jõulumäe tervisespordikeskuse pallimängude väljakud,sa jõulumäe tervisespordikeskus,"tenniseplats, välispalliväljak",kinnisasi,sihtasutus,sihtasutus jõulumäe tervisespordikeskus,90005113,sihtasutus,sihtasutus jõulumäe tervisespordikeskus,90005113,58.22534296,24.51675573,pärnumaa,68,häädemeeste,leina küla,4232,0,154,jalgpalliväljak,rahuldav,jalgpall,2021.0,1983.0,0.0
1730,juurikaru põhikooli jalgpalliväljak,juurikaru põhikool,"muu vabas õhus asuv spordiobjekt, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,põhja-pärnumaa vallavalitsus,77000234,kohaliku omavalitsuse üksus,juurikaru põhikool,75010996,58.637958,25.098588,pärnumaa,68,põhja-pärnumaa,säästla küla,7967,0,4975,jalgpalliväljak,rahuldav,jalgpall,0.0,1988.0,0.0
1729,juurikaru põhikooli võimla,juurikaru põhikool,"võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,põhja-pärnumaa vallavalitsus,77000234,kohaliku omavalitsuse üksus,juurikaru põhikool,75010996,58.63727345,25.09838335,pärnumaa,68,põhja-pärnumaa,säästla küla,7967,32,4796,võimla,väga hea,"korvpall, võrkpall, lauatennis, saalijalgpall, aeroobika ja rühmatreeningud",0.0,2000.0,10.0
1414,juuru eduard vilde kooli staadion ja võrkpalliplats,juuru eduard vilde kool,"staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,rapla vallavalitsus,77000312,kohaliku omavalitsuse üksus,juuru eduard vilde kool,75023881,59.058114,24.956431,raplamaa,71,rapla,juuru alevik,2223,0,3813,staadion,mitterahuldav,"jalgpall, kergejõustik",0.0,1975.0,0.0
364,jüri spordihoone staadion ja palliväljakud,jüri spordihoone,"muu spordiplats, muu vabas õhus asuv spordiobjekt, staadion, tenniseplats, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,rae vallavalitsus,75026106,kohaliku omavalitsuse üksus,rae valla spordikeskus,75034258,59.354176,24.90931,harjumaa,37,rae,jüri alevik,2377,24,1264,staadion,hea,"kergejõustik, jalgpall",2007.0,1980.0,25.0
61,jäneda staadion,jäneda spordikompleks,staadion,kinnisasi,kohaliku omavalitsuse üksus,tapa vallavalitsus,75033477,kohaliku omavalitsuse üksus,tapa valla spordikeskus,77001168,59.241244,25.687194,lääne-virumaa,60,tapa,jäneda küla,2318,0,3750,staadion ,rahuldav,"jalgpall, kergejõustik",2007.0,1978.0,0.0
1029,järva-jaani gümnaasiumi spordisaalid,järva-jaani gümnaasium,"võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,järva vallavalitsus,77000335,kohaliku omavalitsuse üksus,järva-jaani gümnaasium,75008315,59.04679317,25.88809007,järvamaa,52,järva,järva-jaani alev,2341,60,1345,võimla,hea,"kergejõustik, korvpall, võrkpall, saalijalgpall, lauatennis",2010.0,1970.0,15.0
1034,järva-jaani multispordiväljak,0,"muu spordiplats, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,järva vallavalitsus,77000335,kohaliku omavalitsuse üksus,järva valla spordikeskus,75008963,59.040396,25.884658,järvamaa,52,järva,järva-jaani alev,2341,0,11246,multifunktsionaalne palliväljak,väga hea,"jalgpall, korvpall, võrkpall",0.0,2021.0,4.0
1028,järva-jaani staadion,järva-jaani gümnaasium,staadion,kinnisasi,kohaliku omavalitsuse üksus,järva vallavalitsus,77000335,kohaliku omavalitsuse üksus,järva-jaani gümnaasium,75008315,59.045215,25.878811,järvamaa,52,järva,järva-jaani alev,2341,0,1371,staadion,rahuldav,"jalgpall, kergejõustik",0.0,2002.0,20.0
2715,järvakandi kooli staadion ja spordiväljakud,järvakandi kool,"muu spordiplats, staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,kehtna vallavalitsus,77000252,kohaliku omavalitsuse üksus,järvakandi kool,75022640,58.776367,24.802848,raplamaa,71,kehtna,järvakandi alev,2346,0,5456,staadion,mitterahuldav,"jalgpall, kergejõustik",0.0,1970.0,0.0
