rajatisid,rajatisnimi,kompleks,liik,omandiliik,ehstaatus,om_oigvorm_id,omaniknimi,omanikregkood,va_oigvorm_id,valdajanimi,valdajaregkood,kaart_laius,kaart_pikkus,maakond,maakond_kood,kov,asustusyksus,asustusyksus_kood,riietusruumidemahutavus,objektid,objektnimi,tehnseisukord,spordialad
5117,Kalmetu Kooli discgolfi park,Kalmetu Kool,Muu vabas õhus asuv spordiobjekt,Muu,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Viljandi Vallavalitsus,75038606,Kohaliku omavalitsuse üksus,Kalmetu Kool,75025006,58.39053491,25.83788395,Viljandimaa,84,Viljandi vald,Tänassilma küla,8569,20,10626,Kalmetu Kooli discgolfi park,Väga hea,discgolf
2813,Kalmetu Kooli staadion ja palliväljak,Kalmetu Kool,"Staadion, Välispalliväljak",Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Viljandi Vallavalitsus,75038606,Kohaliku omavalitsuse üksus,Kalmetu Kool,75025006,58.390997,25.840026,Viljandimaa,84,Viljandi vald,Tänassilma küla,8569,20,5725,Staadion,Rahuldav,"jalgpall, Kergejõustik"
2812,Kalmetu Kooli võimla,Kalmetu Kool,"Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Viljandi Vallavalitsus,75038606,Kohaliku omavalitsuse üksus,Kalmetu Kool,75025006,58.391269,25.837752,Viljandimaa,84,Viljandi vald,Tänassilma küla,8569,10,6106,Kalmetu Põhikooli võimla,Väga hea,"võrkpall, Korvpall, Maadlus"
2604,Kamara küla võrkpalliplats,,Välispalliväljak,Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Mulgi Vallavalitsus,77000453,Mittetulundusühing,Kamara Külaselts,80244354,58.121986,25.194815,Viljandimaa,84,Mulgi,Kamara küla,2634,20,5047,Kamara küla võrkpalliplats,Rahuldav,võrkpall
3190,Kamari järve ranna palliväljakud,Kamari järve WPark,Välispalliväljak,Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Põltsamaa Vallavalitsus,77000358,Kohaliku omavalitsuse üksus,Põltsamaa Vallavalitsus,77000358,58.61888941,25.9866349,Jõgevamaa,50,Põltsamaa,Väike-Kamari küla,9621,0,6905,Rannavõrkpalliplats,Hea,rannavõrkpall
5277,Kamari järve veelauakeskus WPark,Kamari järve WPark,Muu vabas õhus asuv spordiobjekt,Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Põltsamaa Vallavalitsus,77000358,Osaühing,Wakepark OÜ,14873683,58.61859368,25.98626688,Jõgevamaa,50,Põltsamaa,Väike-Kamari küla,9621,42,10934,Veelauapark,Väga hea,"Veesuusa- ja veelauasport, Kujundujumine"
2904,Kamari palliväljakud,Kamari Haridusselts,"Tenniseplats, Välispalliväljak",Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Põltsamaa Vallavalitsus,77000358,Mittetulundusühing,Kamari Haridusselts,80120445  ,58.596412,26.000556,Jõgevamaa,50,Põltsamaa,Kamari alevik,2636,0,6144,Korv- ja võrkpalliplats,Hea,"Korvpall, võrkpall"
2907,Kamari tervise- ja suusarada,Kamari Haridusselts,Sportliku liikumise püsirada,Muu,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Põltsamaa Vallavalitsus,77000358,Mittetulundusühing,Kamari Haridusselts,80120445  ,58.597519,26.002493,Jõgevamaa,50,Põltsamaa,Kamari alevik,2636,0,6119,Kamari terviserada,Rahuldav,Tervisejooks ja -kõnd
6055,Kambja jõulinnak,Kambja staadion,Muu vabas õhus asuv spordiobjekt,Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Kambja Vallavalitsus,77000275,Kohaliku omavalitsuse üksus,Kambja Vallavalitsus,77000275,58.23552687,26.70138454,Tartumaa,79,Kambja,Kambja alevik,2641,0,12270,Kambja jõulinnak,Väga hea,"harrastusvõimlemine, Kulturism ja fitness"
4345,Kambja Kopsumäe orienteerumiskaart,,Muu sportimiseks kasutatav objekt,Muu,Spordialases kasutuses,,,,,,,58.2263,26.6854,Tartumaa,79,,,,,9280,Kambja Kopsumäe orienteerumiskaa,,Orienteerumine
